time,x,y
0.04,0.531252505,0.605625
0.51,0.531252505,0.605625
1.04,0.5325751503,0.605
1.08,0.5339078156,0.6043611111
1.11,0.5359018036,0.6037361111
1.14,0.5365731463,0.6037361111
1.18,0.5372344689,0.6030972222
1.21,0.5385671343,0.6030972222
1.24,0.5418837675,0.6030972222
1.29,0.5438877756,0.6018333333
1.32,0.5452104208,0.6018333333
1.36,0.5478757515,0.6018333333
1.38,0.5498697395,0.6018333333
1.41,0.5518637275,0.6018333333
1.44,0.5545190381,0.6018333333
1.48,0.5571843687,0.6018333333
1.51,0.5591783567,0.6018333333
1.54,0.560501002,0.6018333333
1.58,0.5618336673,0.6018333333
1.61,0.56250501,0.6018333333
1.74,0.5611723447,0.6018333333
1.78,0.558507014,0.6024722222
1.81,0.5565130261,0.6030972222
1.84,0.5558517034,0.6030972222
1.88,0.5551903808,0.6030972222
1.94,0.5545190381,0.6037361111
1.98,0.5538577154,0.6043611111
2.01,0.5531963928,0.6043611111
2.04,0.5525250501,0.605
2.08,0.5518637275,0.605625
2.11,0.5505310621,0.6068888889
2.14,0.5505310621,0.6075277778
2.18,0.5491983968,0.6081527778
2.21,0.5485370741,0.6100555556
2.24,0.5472044088,0.6106944444
2.28,0.5458817635,0.6113194444
2.31,0.5445490982,0.6119583333
2.34,0.5418837675,0.6119583333
2.38,0.5385671343,0.6119583333
2.41,0.5359018036,0.6119583333
2.44,0.533246493,0.6119583333
2.48,0.5319138277,0.6119583333
2.51,0.531252505,0.6119583333
2.58,0.5305811623,0.6119583333
2.61,0.5305811623,0.6125833333
2.64,0.5299198397,0.6132222222
2.68,0.529258517,0.6144861111
2.71,0.529258517,0.6170138889
2.74,0.529258517,0.6189166667
2.78,0.5299198397,0.6208055556
2.81,0.5305811623,0.6220694444
2.84,0.5325751503,0.6233333333
2.88,0.5339078156,0.6246111111
2.91,0.535240481,0.6246111111
2.94,0.5365731463,0.625875
2.98,0.5372344689,0.625875
3.01,0.5385671343,0.6265
3.04,0.5398897796,0.6271388889
3.08,0.5412224449,0.6277638889
3.11,0.5432164329,0.6277638889
3.14,0.5452104208,0.6290277778
3.18,0.5465430862,0.6290277778
3.21,0.5472044088,0.6296666667
3.24,0.5478757515,0.6296666667
3.28,0.5491983968,0.6290277778
3.31,0.5511923848,0.6284027778
3.34,0.5518637275,0.6277638889
3.38,0.5525250501,0.6277638889
3.41,0.5531963928,0.6271388889
3.44,0.5538577154,0.6271388889
3.51,0.5545190381,0.6271388889
4.34,0.5538577154,0.6265
4.38,0.5538577154,0.625875
4.41,0.5531963928,0.6252361111
4.44,0.5531963928,0.6246111111
4.48,0.5525250501,0.6239722222
4.51,0.5511923848,0.6220694444
4.54,0.5505310621,0.6208055556
4.58,0.5478757515,0.6182777778
4.61,0.5458817635,0.61575
4.64,0.5445490982,0.6138472222
4.68,0.5425551102,0.6113194444
4.71,0.5405611222,0.6087916667
4.74,0.5398897796,0.6068888889
4.78,0.5385671343,0.605625
4.81,0.5372344689,0.605625
4.84,0.5365731463,0.6043611111
4.88,0.535240481,0.6043611111
4.91,0.533246493,0.6037361111
4.94,0.5319138277,0.6030972222
4.98,0.531252505,0.6030972222
5.01,0.5299198397,0.6030972222
5.04,0.529258517,0.6030972222
5.08,0.5279258517,0.6030972222
5.11,0.5279258517,0.6024722222
5.14,0.5272645291,0.6024722222
5.31,0.5272645291,0.6018333333
5.51,0.5272645291,0.6005694444
5.54,0.5272645291,0.5999305556
6.41,0.5252705411,0.5999305556
6.44,0.5226052104,0.5999305556
6.48,0.5199498998,0.6005694444
6.51,0.5172845691,0.6012083333
6.54,0.5146292585,0.6012083333
6.58,0.5113026052,0.6018333333
6.61,0.5093086172,0.6018333333
6.64,0.5053206413,0.6024722222
6.68,0.5026553106,0.6024722222
6.71,0.5013326653,0.6024722222
6.74,0.5006613226,0.6024722222
6.78,0.5,0.6024722222
6.81,0.4993386774,0.6024722222
6.84,0.498006012,0.6024722222
6.88,0.4953507014,0.6024722222
6.91,0.4946793587,0.6024722222
6.98,0.4940180361,0.6024722222
7.01,0.4926853707,0.6024722222
7.04,0.4886973948,0.6024722222
7.08,0.4867034068,0.6024722222
7.51,0.4867034068,0.6024722222
7.94,0.4873647295,0.6024722222
7.98,0.4880360721,0.6024722222
8.01,0.4886973948,0.6024722222
8.04,0.4900300601,0.6030972222
8.08,0.4906913828,0.6030972222
8.18,0.4913527054,0.6030972222
8.44,0.4920240481,0.6030972222
8.48,0.4926853707,0.6030972222
8.51,0.4933466934,0.6030972222
8.54,0.4940180361,0.6030972222
8.78,0.4946793587,0.6030972222
9.44,0.4946793587,0.6037361111
9.48,0.4953507014,0.6037361111
9.51,0.496012024,0.6037361111
9.64,0.4966733467,0.6043611111
9.68,0.4973446894,0.6043611111
9.71,0.498006012,0.6043611111
9.74,0.4986673347,0.605
9.91,0.4993386774,0.605
9.98,0.5,0.605625
10.11,0.5006613226,0.605625
10.14,0.5006613226,0.6062638889
10.18,0.5013326653,0.6068888889
10.21,0.501993988,0.6068888889
10.24,0.501993988,0.6075277778
10.28,0.5026553106,0.6075277778
10.31,0.5033266533,0.6081527778
10.34,0.503987976,0.6081527778
10.41,0.5046492986,0.6087916667
10.44,0.5053206413,0.6094305556
10.48,0.5059819639,0.6094305556
10.51,0.5066533066,0.6094305556
10.54,0.5079759519,0.6094305556
10.58,0.5086472946,0.6100555556
10.61,0.5099699399,0.6106944444
10.64,0.5119639279,0.6106944444
10.68,0.5159619238,0.6113194444
10.71,0.5199498998,0.6119583333
10.74,0.5219438878,0.6119583333
10.78,0.5245991984,0.6119583333
10.81,0.5272645291,0.6119583333
10.84,0.5305811623,0.6119583333
10.88,0.5325751503,0.6119583333
10.91,0.5345791583,0.6119583333
10.94,0.5378957916,0.6125833333
10.98,0.5418837675,0.6125833333
11.01,0.5432164329,0.6125833333
11.04,0.5445490982,0.6125833333
11.11,0.5458817635,0.6125833333
11.14,0.5472044088,0.6132222222
11.51,0.5472044088,0.6132222222
12.08,0.5465430862,0.6132222222
12.14,0.5458817635,0.6132222222
12.51,0.5458817635,0.6132222222
13.21,0.5452104208,0.6132222222
13.51,0.5452104208,0.6132222222
13.64,0.5445490982,0.6132222222
13.68,0.5438877756,0.6132222222
13.71,0.5432164329,0.6132222222
13.78,0.5425551102,0.6132222222
13.81,0.5418837675,0.6132222222
13.94,0.5412224449,0.6125833333
13.98,0.5398897796,0.6125833333
14.01,0.5385671343,0.6119583333
14.04,0.5378957916,0.6119583333
14.08,0.5372344689,0.6113194444
14.11,0.5365731463,0.6113194444
14.14,0.5365731463,0.6106944444
14.18,0.5359018036,0.6106944444
14.51,0.5359018036,0.6106944444
14.68,0.535240481,0.6106944444
14.71,0.5345791583,0.6106944444
14.74,0.5339078156,0.6106944444
14.78,0.533246493,0.6106944444
14.81,0.5325751503,0.6100555556
14.84,0.5319138277,0.6100555556
14.88,0.5305811623,0.6100555556
14.91,0.5299198397,0.6100555556
14.94,0.529258517,0.6100555556
15.01,0.5285871743,0.6100555556
15.04,0.5279258517,0.6094305556
15.28,0.5272645291,0.6094305556
15.31,0.5272645291,0.6087916667
15.44,0.5265931864,0.6081527778
15.51,0.5265931864,0.6081527778
16.51,0.5265931864,0.6081527778
17.17,0.5265931864,0.6087916667
17.21,0.5259318637,0.6087916667
17.27,0.5239378758,0.6100555556
17.31,0.5219438878,0.6119583333
17.34,0.5199498998,0.6132222222
17.37,0.5179559118,0.6144861111
17.41,0.5166232465,0.6151111111
17.44,0.5166232465,0.61575
17.51,0.5166232465,0.61575
17.54,0.5159619238,0.61575
17.61,0.5146292585,0.6163888889
17.64,0.5139579158,0.6170138889
17.67,0.5126352705,0.6176527778
17.71,0.5113026052,0.6182777778
17.74,0.5106412826,0.6189166667
17.78,0.5099699399,0.6189166667
17.81,0.5093086172,0.6189166667
18.07,0.5086472946,0.6189166667
18.11,0.5079759519,0.6195416667
18.14,0.5073146293,0.6195416667
18.24,0.5073146293,0.6201805556
18.44,0.5066533066,0.6201805556
18.51,0.5066533066,0.6201805556
18.57,0.5059819639,0.6201805556
18.84,0.5046492986,0.6201805556
18.87,0.5033266533,0.6214444444
18.91,0.501993988,0.6220694444
18.94,0.5013326653,0.6220694444
19.01,0.5013326653,0.6227083333
19.04,0.5006613226,0.6227083333
19.07,0.5,0.6227083333
19.11,0.4993386774,0.6227083333
19.14,0.4986673347,0.6227083333
19.18,0.498006012,0.6227083333
19.21,0.4973446894,0.6233333333
19.24,0.4966733467,0.6246111111
19.27,0.496012024,0.6246111111
19.34,0.4946793587,0.6246111111
19.41,0.4933466934,0.6246111111
19.44,0.4926853707,0.6246111111
19.48,0.4913527054,0.6239722222
19.51,0.4906913828,0.6233333333
19.54,0.4900300601,0.6233333333
19.57,0.4886973948,0.6227083333
19.61,0.4880360721,0.6227083333
19.64,0.4867034068,0.6227083333
19.67,0.4840380762,0.6227083333
19.71,0.4833767535,0.6227083333
19.84,0.4827154309,0.6227083333
20.04,0.4820440882,0.6227083333
20.07,0.4820440882,0.6220694444
20.14,0.4813827655,0.6220694444
20.27,0.4813827655,0.6214444444
20.34,0.4807214429,0.6214444444
20.51,0.4807214429,0.6214444444
20.67,0.4807214429,0.6208055556
20.71,0.4800501002,0.6208055556
21.08,0.4807214429,0.6214444444
21.24,0.4820440882,0.6214444444
21.28,0.4827154309,0.6214444444
21.31,0.4833767535,0.6214444444
21.34,0.4840380762,0.6214444444
21.41,0.4847094188,0.6214444444
21.44,0.4860420842,0.6214444444
21.47,0.4873647295,0.6214444444
21.51,0.4880360721,0.6214444444
21.54,0.4893587174,0.6214444444
21.57,0.4906913828,0.6214444444
21.61,0.4913527054,0.6214444444
21.64,0.4926853707,0.6214444444
21.74,0.4933466934,0.6214444444
21.77,0.4940180361,0.6214444444
21.81,0.4946793587,0.6214444444
21.84,0.4953507014,0.6214444444
21.91,0.496012024,0.6214444444
21.94,0.4966733467,0.6214444444
22.04,0.498006012,0.6201805556
22.07,0.4986673347,0.6189166667
22.11,0.4993386774,0.6176527778
22.14,0.4993386774,0.6170138889
22.51,0.4993386774,0.6170138889
22.54,0.5,0.6170138889
22.57,0.5013326653,0.6176527778
22.68,0.501993988,0.6176527778
22.71,0.501993988,0.6182777778
22.74,0.5026553106,0.6182777778
22.84,0.5033266533,0.6189166667
23.51,0.5033266533,0.6189166667
24.17,0.503987976,0.6189166667
24.21,0.5046492986,0.6189166667
24.24,0.5053206413,0.6189166667
24.51,0.5053206413,0.6189166667
24.67,0.5066533066,0.6189166667
24.78,0.5079759519,0.6189166667
24.81,0.5086472946,0.6189166667
24.84,0.5093086172,0.6189166667
24.91,0.5099699399,0.6182777778
24.94,0.5113026052,0.6182777778
25.01,0.5119639279,0.6182777778
25.11,0.5126352705,0.6182777778
25.17,0.5126352705,0.6176527778
25.24,0.5132965932,0.6176527778
25.51,0.5132965932,0.6176527778
25.64,0.5139579158,0.6163888889
25.71,0.5146292585,0.61575
25.74,0.5152905812,0.6151111111
26.01,0.5159619238,0.6151111111
26.28,0.5166232465,0.6151111111
26.44,0.5172845691,0.6151111111
26.51,0.5172845691,0.6151111111
26.87,0.5179559118,0.6151111111
26.98,0.5186172345,0.61575
27.01,0.5192785571,0.61575
27.11,0.5192785571,0.6151111111
27.14,0.5199498998,0.6151111111
27.51,0.5199498998,0.6151111111
27.84,0.5199498998,0.6138472222
27.87,0.5206112224,0.6138472222
27.91,0.5212725451,0.6132222222
27.94,0.5212725451,0.6125833333
27.98,0.5219438878,0.6125833333
28.51,0.5219438878,0.6125833333
28.54,0.5239378758,0.6132222222
28.57,0.5239378758,0.6138472222
29.51,0.5239378758,0.6138472222
29.61,0.5232665331,0.6138472222
29.64,0.5219438878,0.6138472222
29.67,0.5212725451,0.6138472222
29.71,0.5206112224,0.6138472222
30.51,0.5206112224,0.6138472222
31.11,0.5206112224,0.6151111111
31.14,0.5192785571,0.6163888889
31.17,0.5192785571,0.6176527778
31.21,0.5192785571,0.6189166667
31.24,0.5192785571,0.6201805556
31.27,0.5192785571,0.6214444444
31.31,0.5192785571,0.6227083333
31.34,0.5192785571,0.6246111111
31.38,0.5192785571,0.6265
31.41,0.5192785571,0.6284027778
31.44,0.5192785571,0.6302916667
31.47,0.5192785571,0.6347222222
31.51,0.5186172345,0.6385138889
31.54,0.5179559118,0.6423194444
31.58,0.5179559118,0.6429444444
31.61,0.5172845691,0.6435833333
31.77,0.5166232465,0.6442083333
31.81,0.5159619238,0.6448472222
31.84,0.5152905812,0.6467361111
31.87,0.5146292585,0.6492777778
31.91,0.5139579158,0.6518055556
31.94,0.5132965932,0.6543333333
31.97,0.5132965932,0.6568611111
32.01,0.5132965932,0.6600277778
32.04,0.5132965932,0.6619166667
32.07,0.5132965932,0.6631944444
32.14,0.5132965932,0.6638194444
32.27,0.5126352705,0.6631944444
32.31,0.5126352705,0.6600277778
32.34,0.5126352705,0.6543333333
32.37,0.5126352705,0.6499027778
32.41,0.5126352705,0.6454722222
32.44,0.5126352705,0.6416805556
32.47,0.5126352705,0.6391527778
32.51,0.5132965932,0.636625
32.54,0.5139579158,0.6340972222
32.57,0.5152905812,0.6321944444
32.61,0.5152905812,0.6309305556
32.71,0.5152905812,0.6302916667
32.74,0.5146292585,0.6296666667
32.77,0.5132965932,0.6290277778
32.81,0.5126352705,0.6284027778
32.84,0.5126352705,0.6277638889
32.91,0.5119639279,0.6277638889
32.97,0.5119639279,0.6271388889
33.51,0.5119639279,0.6271388889
34.17,0.5119639279,0.6265
34.21,0.5119639279,0.625875
34.27,0.5119639279,0.6252361111
34.31,0.5126352705,0.6246111111
34.51,0.5126352705,0.6246111111
34.84,0.5126352705,0.6252361111
34.88,0.5113026052,0.6277638889
34.91,0.5106412826,0.6296666667
34.94,0.5099699399,0.6321944444
34.97,0.5086472946,0.6340972222
35.01,0.5086472946,0.6359861111
35.04,0.5086472946,0.636625
35.07,0.5086472946,0.63725
35.51,0.5086472946,0.63725
36.41,0.5079759519,0.63725
36.44,0.5073146293,0.636625
36.47,0.5066533066,0.6359861111
36.51,0.5053206413,0.6353611111
36.54,0.503987976,0.6347222222
36.57,0.5026553106,0.6340972222
36.61,0.5013326653,0.6334583333
36.64,0.5,0.6328333333
36.67,0.4993386774,0.6328333333
36.81,0.4986673347,0.6321944444
36.84,0.4973446894,0.6302916667
36.87,0.4966733467,0.6290277778
36.91,0.4966733467,0.6277638889
36.94,0.4966733467,0.6271388889
37.31,0.4966733467,0.6265
37.51,0.4966733467,0.6265
37.91,0.498006012,0.6271388889
37.94,0.4993386774,0.6271388889
38.21,0.4986673347,0.6277638889
38.24,0.4973446894,0.6290277778
38.27,0.4966733467,0.6296666667
38.31,0.4953507014,0.6296666667
38.34,0.4933466934,0.6302916667
38.37,0.4906913828,0.6302916667
38.41,0.4880360721,0.6296666667
