time,x,y
0.02,0.503987976,0.3412361111
0.22,0.5053206413,0.3393472222
0.25,0.5059819639,0.3387083333
0.29,0.5093086172,0.3355416667
0.32,0.5126352705,0.3323888889
0.35,0.5132965932,0.331125
0.45,0.5139579158,0.331125
0.49,0.5139579158,0.3304861111
0.52,0.5139579158,0.3304861111
0.89,0.5139579158,0.331125
0.99,0.5139579158,0.33175
1.08,0.5139579158,0.3323888889
1.22,0.5139579158,0.3342777778
1.25,0.5139579158,0.3349166667
1.35,0.5139579158,0.3361805556
1.39,0.5139579158,0.3368055556
1.45,0.5139579158,0.3374444444
1.52,0.5139579158,0.3374444444
1.85,0.5139579158,0.3380833333
2.02,0.5132965932,0.3387083333
2.22,0.5132965932,0.3399722222
2.25,0.5132965932,0.3406111111
2.42,0.5132965932,0.341875
2.45,0.5139579158,0.3425
2.52,0.5139579158,0.3425
2.55,0.5139579158,0.3437638889
2.58,0.5139579158,0.3444027778
2.62,0.5146292585,0.3450416667
2.72,0.5152905812,0.3456666667
2.75,0.5159619238,0.3463055556
2.78,0.5159619238,0.3469305556
2.82,0.5159619238,0.3475694444
2.89,0.5166232465,0.3475694444
2.92,0.5166232465,0.3481944444
2.95,0.5166232465,0.3488333333
2.99,0.5172845691,0.3488333333
3.02,0.5172845691,0.3494583333
3.19,0.5172845691,0.3500972222
3.22,0.5179559118,0.3519861111
3.25,0.5186172345,0.3532638889
3.45,0.5186172345,0.3538888889
3.49,0.5186172345,0.3545277778
3.52,0.5186172345,0.3545277778
3.59,0.5186172345,0.3551527778
3.79,0.5192785571,0.3564166667
3.85,0.5199498998,0.3564166667
3.89,0.5199498998,0.3576805556
3.95,0.5199498998,0.3583194444
3.99,0.5199498998,0.3589444444
4.02,0.5199498998,0.3595833333
4.12,0.5206112224,0.3602083333
4.15,0.5212725451,0.3602083333
4.19,0.5212725451,0.3608472222
4.22,0.5219438878,0.3614861111
4.25,0.5226052104,0.3621111111
4.28,0.5232665331,0.36275
4.35,0.5232665331,0.363375
4.39,0.5239378758,0.3640138889
4.42,0.5239378758,0.3646388889
4.45,0.5239378758,0.3652777778
4.49,0.5245991984,0.3652777778
4.52,0.5245991984,0.3652777778
4.69,0.5252705411,0.3652777778
4.78,0.5252705411,0.3646388889
4.88,0.5252705411,0.3640138889
5.32,0.5252705411,0.363375
5.35,0.5259318637,0.36275
5.38,0.5259318637,0.3614861111
5.52,0.5259318637,0.3614861111
5.95,0.5259318637,0.3621111111
5.98,0.5259318637,0.36275
6.12,0.5252705411,0.363375
6.15,0.5245991984,0.3640138889
6.19,0.5239378758,0.3640138889
6.22,0.5239378758,0.3646388889
6.25,0.5232665331,0.3646388889
6.28,0.5226052104,0.3652777778
6.52,0.5226052104,0.3659027778
6.55,0.5226052104,0.3671666667
7.39,0.5232665331,0.3671666667
7.52,0.5232665331,0.3671666667
7.65,0.5219438878,0.3665416667
7.69,0.5206112224,0.3665416667
7.78,0.5199498998,0.3665416667
8.19,0.5206112224,0.3665416667
8.22,0.5212725451,0.3665416667
8.39,0.5206112224,0.3665416667
8.52,0.5206112224,0.3665416667
9.09,0.5199498998,0.3671666667
9.12,0.5192785571,0.3671666667
9.15,0.5192785571,0.3678055556
9.52,0.5192785571,0.3678055556
10.52,0.5192785571,0.3678055556
11.38,0.5199498998,0.3678055556
11.52,0.5199498998,0.3678055556
12.52,0.5199498998,0.3678055556
12.95,0.5206112224,0.3678055556
12.98,0.5206112224,0.3671666667
13.02,0.5212725451,0.3671666667
13.52,0.5212725451,0.3671666667
14.52,0.5212725451,0.3671666667
15.52,0.5212725451,0.3671666667
16.52,0.5212725451,0.3671666667
17.38,0.5212725451,0.3665416667
17.42,0.5206112224,0.3640138889
17.45,0.5206112224,0.3621111111
17.48,0.5206112224,0.3602083333
17.52,0.5206112224,0.3576805556
17.55,0.5206112224,0.3551527778
17.58,0.5206112224,0.3532638889
17.62,0.5206112224,0.3507222222
17.65,0.5206112224,0.3488333333
17.68,0.5206112224,0.3475694444
17.72,0.5199498998,0.3456666667
17.75,0.5199498998,0.3437638889
17.78,0.5192785571,0.3425
17.82,0.5192785571,0.3406111111
17.85,0.5192785571,0.3393472222
17.88,0.5186172345,0.3380833333
17.92,0.5179559118,0.3368055556
17.95,0.5179559118,0.3361805556
17.98,0.5172845691,0.3355416667
18.02,0.5159619238,0.3336527778
18.05,0.5146292585,0.33175
18.08,0.5113026052,0.3292222222
18.12,0.5086472946,0.3266944444
18.15,0.5079759519,0.3260555556
18.18,0.5066533066,0.3247916667
18.28,0.5059819639,0.3241666667
18.32,0.5053206413,0.3235277778
18.38,0.5046492986,0.3222638889
18.45,0.503987976,0.321625
18.48,0.503987976,0.321
18.52,0.503987976,0.3203611111
18.55,0.5033266533,0.3203611111
18.62,0.5033266533,0.3197361111
18.65,0.5026553106,0.3190972222
19.02,0.5026553106,0.3184722222
19.05,0.501993988,0.3178333333
19.52,0.501993988,0.3178333333
20.05,0.503987976,0.3203611111
20.08,0.5053206413,0.321
20.32,0.5053206413,0.321625
20.35,0.5059819639,0.3222638889
20.38,0.5059819639,0.3229027778
20.45,0.5066533066,0.3235277778
20.48,0.5066533066,0.3241666667
20.52,0.5066533066,0.3241666667
21.52,0.5066533066,0.3241666667
22.52,0.5066533066,0.3241666667
23.51,0.5066533066,0.3241666667
23.58,0.5066533066,0.3247916667
24.52,0.5066533066,0.3247916667
24.95,0.5059819639,0.3247916667
25.52,0.5059819639,0.3247916667
26.08,0.503987976,0.3254305556
26.12,0.5033266533,0.3260555556
26.15,0.5026553106,0.3260555556
26.18,0.5013326653,0.3266944444
26.22,0.5,0.3273194444
26.25,0.4993386774,0.3273194444
26.32,0.4986673347,0.3273194444
26.35,0.498006012,0.3279583333
26.48,0.4973446894,0.3279583333
26.52,0.4973446894,0.3279583333
27.52,0.4973446894,0.3279583333
28.52,0.4973446894,0.3279583333
29.52,0.4973446894,0.3279583333
30.51,0.4973446894,0.3279583333
31.08,0.4946793587,0.3285833333
31.11,0.4933466934,0.3298611111
31.15,0.4913527054,0.3298611111
31.18,0.4900300601,0.3304861111
31.22,0.4893587174,0.331125
31.25,0.4867034068,0.33175
31.28,0.4813827655,0.3336527778
31.31,0.4740681363,0.3342777778
31.35,0.470741483,0.3342777778
31.38,0.470741483,0.3349166667
31.41,0.4700801603,0.3349166667
31.45,0.468747495,0.3355416667
31.48,0.4680861723,0.3355416667
31.51,0.4674248497,0.3355416667
31.55,0.466753507,0.3355416667
32.51,0.466753507,0.3355416667
