time,x,y
0.03,0.6515931864,0.4911388889
0.52,0.6515931864,0.4911388889
0.68,0.6509318637,0.4911388889
0.92,0.6502705411,0.4911388889
1.25,0.6495991984,0.4911388889
1.52,0.6495991984,0.4911388889
1.88,0.6482665331,0.4911388889
1.92,0.6476052104,0.4911388889
1.95,0.6469438878,0.4911388889
2.02,0.6462725451,0.4911388889
2.08,0.6456112224,0.4911388889
2.12,0.6449498998,0.4911388889
2.15,0.6442785571,0.4911388889
2.22,0.6436172345,0.4911388889
2.25,0.6429559118,0.4911388889
2.28,0.6429559118,0.4917777778
2.35,0.6416232465,0.4917777778
2.45,0.6409619238,0.4917777778
2.48,0.6402905812,0.4924166667
2.51,0.6402905812,0.4924166667
2.58,0.6396292585,0.4924166667
2.75,0.6389579158,0.4924166667
2.81,0.6382965932,0.4924166667
3.51,0.6382965932,0.4924166667
4.51,0.6382965932,0.4924166667
5.51,0.6382965932,0.4924166667
5.58,0.6376352705,0.4924166667
5.61,0.6369639279,0.4924166667
5.71,0.6363026052,0.4924166667
5.75,0.6349699399,0.4924166667
5.78,0.6323146293,0.4917777778
5.81,0.6309819639,0.4917777778
5.85,0.6296492986,0.4917777778
5.88,0.6276553106,0.4917777778
5.91,0.6243386774,0.4924166667
5.95,0.6203507014,0.4924166667
5.98,0.6123647295,0.4924166667
6.01,0.6037274549,0.4924166667
6.05,0.5990681363,0.4924166667
6.08,0.5984068136,0.4930416667
6.11,0.5977354709,0.4930416667
6.15,0.5944188377,0.4936805556
6.18,0.5831162325,0.4955694444
6.21,0.5731362725,0.4968333333
6.25,0.5711422846,0.4974722222
6.31,0.5698096192,0.4980972222
6.35,0.564498998,0.5
6.38,0.5591783567,0.5012638889
6.41,0.5565130261,0.5019027778
6.45,0.5565130261,0.5025277778
6.48,0.5551903808,0.5025277778
6.51,0.5538577154,0.5037916667
6.55,0.5505310621,0.5037916667
6.58,0.5472044088,0.5050555556
6.61,0.5465430862,0.5050555556
6.65,0.5458817635,0.5050555556
6.68,0.5452104208,0.5056944444
6.71,0.5445490982,0.5063194444
6.75,0.5432164329,0.5063194444
6.78,0.5432164329,0.5069583333
6.81,0.5425551102,0.5069583333
6.85,0.5418837675,0.5069583333
6.88,0.5412224449,0.5069583333
6.91,0.5392284569,0.5069583333
6.95,0.5359018036,0.5063194444
6.98,0.5345791583,0.5063194444
7.01,0.5339078156,0.5056944444
7.08,0.5339078156,0.5044305556
7.11,0.533246493,0.5031666667
7.15,0.533246493,0.5025277778
7.18,0.533246493,0.5019027778
7.21,0.533246493,0.5012638889
7.25,0.5339078156,0.5006388889
7.41,0.5345791583,0.5
7.45,0.535240481,0.5
7.51,0.535240481,0.5
7.55,0.5359018036,0.5
7.58,0.5359018036,0.4993611111
