time,x,y
0.05,0.6010621242,0.5031666667
0.11,0.6017334669,0.5031666667
0.31,0.6010621242,0.5031666667
0.38,0.6004008016,0.5031666667
0.41,0.6004008016,0.5037916667
0.48,0.5997294589,0.5031666667
0.51,0.5997294589,0.5031666667
0.55,0.5990681363,0.5031666667
0.95,0.6004008016,0.5031666667
1.01,0.6023947896,0.5025277778
1.05,0.6043887776,0.5019027778
1.08,0.6057214429,0.5019027778
1.15,0.6077154309,0.5012638889
1.18,0.6097094188,0.5
1.21,0.6110420842,0.4993611111
1.25,0.6117034068,0.4987361111
1.51,0.6117034068,0.4987361111
1.91,0.6110420842,0.5
1.95,0.6110420842,0.5006388889
2.31,0.6103707415,0.5012638889
2.35,0.6097094188,0.5025277778
2.38,0.6090380762,0.5025277778
2.45,0.6090380762,0.5031666667
2.51,0.6090380762,0.5031666667
3.51,0.6090380762,0.5031666667
4.04,0.6130360721,0.5
4.08,0.6156913828,0.4962083333
4.11,0.6163527054,0.4955694444
4.18,0.6170240481,0.4980972222
4.21,0.6176853707,0.4987361111
4.34,0.6176853707,0.4968333333
4.38,0.6190180361,0.4955694444
4.48,0.6203507014,0.5037916667
4.51,0.6216733467,0.5063194444
4.61,0.6216733467,0.5044305556
4.64,0.621012024,0.5019027778
4.68,0.621012024,0.5012638889
4.81,0.621012024,0.5
4.84,0.621012024,0.4980972222
4.88,0.621012024,0.4968333333
4.91,0.621012024,0.4955694444
5.11,0.6216733467,0.4949444444
5.14,0.6216733467,0.4943055556
5.18,0.6216733467,0.4930416667
5.21,0.6216733467,0.4917777778
5.51,0.6216733467,0.4917777778
6.51,0.6216733467,0.4917777778
6.58,0.6190180361,0.4917777778
6.61,0.6176853707,0.4917777778
6.64,0.6163527054,0.4917777778
6.68,0.6150300601,0.4911388889
6.71,0.6130360721,0.4911388889
6.74,0.6070440882,0.489875
6.78,0.6023947896,0.48925
6.81,0.6010621242,0.48925
6.84,0.6010621242,0.4886111111
6.98,0.5997294589,0.4886111111
7.04,0.5984068136,0.48925
7.08,0.595741483,0.4905138889
