time,x,y
0.05,0.4275250501,0.6922777778
0.5,0.4275250501,0.6922777778
0.6,0.4288577154,0.6922777778
0.64,0.4295190381,0.6929166667
0.67,0.4301903808,0.6935416667
0.7,0.4315130261,0.6935416667
0.74,0.4321843687,0.6935416667
0.8,0.4328456914,0.6935416667
0.84,0.433507014,0.6935416667
0.87,0.4341783567,0.6935416667
0.9,0.4368336673,0.6922777778
0.94,0.4408216433,0.689125
0.97,0.4434869739,0.6865972222
1,0.4441482966,0.6865972222
1.04,0.4448096192,0.6865972222
1.07,0.4461422846,0.6859583333
1.1,0.4474749499,0.6853194444
1.14,0.4488076152,0.6846944444
1.17,0.4501302605,0.6834305556
1.2,0.4514629259,0.6827916667
1.24,0.4521242485,0.6827916667
1.27,0.4534569138,0.6821666667
1.3,0.4547895792,0.6821666667
1.34,0.4567835671,0.6815277778
1.37,0.4581162325,0.6809027778
1.4,0.4594388778,0.6802638889
1.43,0.4607715431,0.6796388889
1.47,0.4614328657,0.679
1.5,0.4634268537,0.678375
1.54,0.4640981964,0.6777361111
1.57,0.464759519,0.6777361111
1.6,0.4660921844,0.6770972222
1.64,0.466753507,0.6764722222
1.67,0.4674248497,0.6764722222
1.7,0.4680861723,0.6764722222
1.74,0.468747495,0.6758333333
1.77,0.4694188377,0.6758333333
1.8,0.4700801603,0.6752083333
1.84,0.4714128257,0.6745694444
1.87,0.4727354709,0.6745694444
1.9,0.4740681363,0.6739444444
1.94,0.4740681363,0.6733055556
1.97,0.4747294589,0.6733055556
2.04,0.4754008016,0.6733055556
2.47,0.4754008016,0.6726805556
2.5,0.4760621242,0.6726805556
2.87,0.4754008016,0.6726805556
2.9,0.4734068136,0.6733055556
2.93,0.4727354709,0.6733055556
3,0.4720741483,0.6733055556
3.03,0.4714128257,0.6733055556
3.07,0.470741483,0.6739444444
3.13,0.4700801603,0.6745694444
3.17,0.4694188377,0.6745694444
3.2,0.468747495,0.6752083333
3.23,0.4674248497,0.6758333333
3.27,0.466753507,0.6764722222
3.3,0.4660921844,0.6764722222
3.33,0.4654208417,0.6764722222
3.5,0.4654208417,0.6764722222
3.63,0.464759519,0.6770972222
3.67,0.4640981964,0.6770972222
3.7,0.4614328657,0.6770972222
3.73,0.4587775551,0.6770972222
3.77,0.4541182365,0.6770972222
3.8,0.4501302605,0.6770972222
3.83,0.4481362725,0.6770972222
3.87,0.4461422846,0.6770972222
3.9,0.4441482966,0.6770972222
3.93,0.4428156313,0.6770972222
3.97,0.4421543086,0.6777361111
4,0.441492986,0.6777361111
4.03,0.4401603206,0.678375
4.07,0.4388276553,0.6796388889
4.1,0.4368336673,0.6809027778
4.13,0.4348396794,0.6821666667
4.17,0.433507014,0.6827916667
4.2,0.4321843687,0.6834305556
4.23,0.4308517034,0.6840555556
4.27,0.4288577154,0.6853194444
4.3,0.4248697395,0.6859583333
4.33,0.4182164329,0.6865972222
4.37,0.4122344689,0.6865972222
4.4,0.408246493,0.6865972222
4.43,0.4049198397,0.6865972222
4.47,0.4035871743,0.6865972222
4.5,0.4029258517,0.6865972222
4.53,0.4022645291,0.6859583333
4.6,0.4009318637,0.6859583333
4.63,0.4002705411,0.6853194444
4.67,0.3989378758,0.6846944444
4.7,0.3969438878,0.6840555556
4.73,0.3942785571,0.6821666667
4.77,0.3909619238,0.6796388889
4.8,0.3889579158,0.6777361111
4.83,0.3882965932,0.6752083333
4.87,0.3876352705,0.6739444444
4.9,0.3869639279,0.6720416667
4.93,0.3869639279,0.6707777778
4.97,0.3869639279,0.6701388889
5,0.3869639279,0.6695138889
5.07,0.3869639279,0.668875
5.23,0.3869639279,0.66825
5.27,0.3876352705,0.6669861111
5.3,0.3882965932,0.6657222222
5.33,0.3896292585,0.6638194444
5.37,0.3902905812,0.6619166667
5.4,0.3909619238,0.6612916667
5.43,0.3909619238,0.6606527778
5.47,0.3916232465,0.6600277778
5.5,0.3916232465,0.6593888889
5.53,0.3916232465,0.658125
5.57,0.3916232465,0.6575
5.6,0.3922845691,0.6568611111
5.63,0.3922845691,0.6562361111
5.67,0.3922845691,0.6555972222
5.7,0.3929559118,0.6549583333
5.8,0.3929559118,0.6543333333
5.83,0.3929559118,0.6536944444
5.87,0.3929559118,0.6530694444
5.9,0.3929559118,0.6524305556
6.13,0.3929559118,0.6518055556
6.17,0.3929559118,0.6511666667
6.43,0.3929559118,0.6505416667
6.47,0.3936172345,0.6499027778
6.5,0.3936172345,0.6492777778
6.53,0.3942785571,0.647375
6.57,0.3942785571,0.6461111111
6.6,0.3942785571,0.6448472222
6.63,0.3936172345,0.6435833333
6.67,0.3936172345,0.6423194444
6.7,0.3936172345,0.6410555556
6.73,0.3936172345,0.6404166667
6.77,0.3936172345,0.6397916667
6.83,0.3929559118,0.6397916667
6.87,0.3929559118,0.6391527778
6.9,0.3929559118,0.6385138889
6.97,0.3929559118,0.6378888889
7,0.3929559118,0.63725
7.03,0.3929559118,0.636625
7.53,0.3929559118,0.636625
8.13,0.3922845691,0.636625
8.17,0.3916232465,0.63725
8.53,0.3916232465,0.63725
9,0.3909619238,0.63725
9.13,0.3902905812,0.6378888889
9.17,0.3896292585,0.6385138889
9.53,0.3896292585,0.6385138889
10.5,0.3896292585,0.6385138889
11.53,0.3896292585,0.6385138889
12.5,0.3896292585,0.6385138889
13.53,0.3896292585,0.6385138889
14.53,0.3896292585,0.6385138889
14.63,0.3863026052,0.6378888889
14.67,0.3836472946,0.636625
14.7,0.3816533066,0.636625
14.73,0.3809819639,0.636625
14.77,0.3803206413,0.636625
14.87,0.3796492986,0.636625
14.9,0.3796492986,0.6359861111
14.93,0.378987976,0.6359861111
14.97,0.378987976,0.6353611111
15.03,0.3783266533,0.6347222222
15.07,0.3776553106,0.6334583333
15.1,0.3776553106,0.6328333333
15.13,0.3783266533,0.6309305556
15.17,0.3796492986,0.6296666667
15.2,0.3803206413,0.6290277778
15.23,0.3803206413,0.6284027778
15.27,0.3809819639,0.6277638889
15.33,0.3809819639,0.6271388889
15.37,0.3816533066,0.6271388889
15.4,0.3816533066,0.6265
15.5,0.3809819639,0.6265
15.53,0.3803206413,0.6265
16,0.3803206413,0.625875
16.03,0.3809819639,0.6252361111
16.3,0.3816533066,0.6252361111
16.4,0.3823146293,0.6246111111
16.43,0.3829759519,0.6239722222
16.47,0.3843086172,0.6233333333
16.5,0.3849699399,0.6220694444
16.53,0.3856412826,0.6220694444
16.67,0.3863026052,0.6220694444
17.5,0.3863026052,0.6220694444
18.53,0.3856412826,0.6220694444
18.57,0.3849699399,0.6227083333
18.67,0.3843086172,0.6227083333
18.7,0.3836472946,0.6220694444
18.73,0.3829759519,0.6214444444
18.77,0.3809819639,0.6208055556
18.8,0.3796492986,0.6195416667
18.83,0.3776553106,0.6189166667
18.87,0.3756613226,0.6189166667
18.9,0.3743386774,0.6189166667
18.93,0.3736673347,0.6182777778
19.03,0.373006012,0.6182777778
19.13,0.3723446894,0.6182777778
19.17,0.3716733467,0.6176527778
19.2,0.371012024,0.6176527778
19.23,0.3696793587,0.6176527778
19.27,0.3683466934,0.6176527778
19.3,0.3663527054,0.6170138889
19.33,0.3650300601,0.6163888889
19.37,0.3643587174,0.6163888889
19.4,0.3630360721,0.6163888889
19.43,0.3610420842,0.61575
19.47,0.3603707415,0.61575
19.5,0.3597094188,0.6151111111
19.53,0.3590380762,0.6151111111
19.57,0.3577154309,0.6151111111
19.6,0.3563827655,0.6144861111
19.63,0.3550501002,0.6138472222
19.7,0.3543887776,0.6138472222
19.73,0.3537274549,0.6138472222
19.83,0.3530561122,0.6138472222
20.3,0.3530561122,0.6144861111
20.53,0.3530561122,0.6144861111
20.87,0.3570440882,0.6144861111
20.9,0.3617034068,0.6144861111
20.93,0.3636973948,0.6144861111
20.97,0.3663527054,0.6144861111
21,0.3690180361,0.6144861111
21.03,0.371012024,0.6144861111
21.07,0.373006012,0.6144861111
21.1,0.3743386774,0.6151111111
21.13,0.376993988,0.6163888889
21.17,0.3796492986,0.6170138889
21.2,0.3816533066,0.6176527778
21.24,0.3843086172,0.6182777778
21.28,0.3882965932,0.6201805556
21.3,0.3889579158,0.6208055556
21.33,0.3896292585,0.6214444444
21.37,0.3902905812,0.6214444444
21.4,0.3909619238,0.6220694444
21.43,0.3916232465,0.6220694444
21.47,0.3929559118,0.6227083333
21.5,0.3929559118,0.6227083333
21.53,0.3936172345,0.6233333333
21.57,0.3942785571,0.6233333333
21.67,0.3949498998,0.6239722222
21.8,0.3949498998,0.6246111111
22.1,0.3942785571,0.6227083333
22.13,0.3936172345,0.6201805556
22.17,0.3929559118,0.6170138889
22.2,0.3929559118,0.6163888889
22.23,0.3929559118,0.61575
22.5,0.3929559118,0.6163888889
22.53,0.3929559118,0.6170138889
22.56,0.3929559118,0.6176527778
22.6,0.3929559118,0.6189166667
22.63,0.3929559118,0.6195416667
22.83,0.3922845691,0.6195416667
22.86,0.3916232465,0.6195416667
22.9,0.3909619238,0.6189166667
22.93,0.3896292585,0.6189166667
22.96,0.3882965932,0.6189166667
23,0.3876352705,0.6195416667
23.03,0.3863026052,0.6208055556
23.06,0.3849699399,0.6220694444
23.1,0.3843086172,0.6220694444
23.13,0.3843086172,0.6227083333
23.5,0.3843086172,0.6233333333
23.53,0.3843086172,0.6265
23.56,0.3843086172,0.6290277778
23.6,0.3843086172,0.6321944444
24,0.3843086172,0.6334583333
24.03,0.3823146293,0.63725
24.06,0.3809819639,0.6397916667
24.1,0.3809819639,0.6410555556
24.13,0.3803206413,0.6416805556
24.16,0.3796492986,0.6416805556
24.2,0.3796492986,0.6410555556
24.3,0.378987976,0.6404166667
24.33,0.3776553106,0.6404166667
24.36,0.376993988,0.6391527778
24.4,0.376993988,0.6385138889
24.43,0.3763326653,0.6385138889
24.53,0.3763326653,0.6385138889
24.86,0.376993988,0.6378888889
25.4,0.3776553106,0.6378888889
25.53,0.3776553106,0.6378888889
25.93,0.3776553106,0.636625
25.96,0.3796492986,0.6359861111
26,0.3809819639,0.6353611111
26.16,0.3816533066,0.6353611111
26.26,0.3823146293,0.6353611111
