time,x,y
0.06,0.3570440882,0.6151111111
0.19,0.3577154309,0.6151111111
0.42,0.3577154309,0.61575
0.52,0.3577154309,0.61575
1.52,0.3577154309,0.61575
1.59,0.3583767535,0.6151111111
1.62,0.3603707415,0.6132222222
1.65,0.3617034068,0.6119583333
2.52,0.3617034068,0.6119583333
3.52,0.3617034068,0.6119583333
4.05,0.3617034068,0.6125833333
4.52,0.3617034068,0.6125833333
5.52,0.3617034068,0.6125833333
6.35,0.3597094188,0.6119583333
6.52,0.3597094188,0.6119583333
7.52,0.3597094188,0.6119583333
8.52,0.3597094188,0.6119583333
8.75,0.3617034068,0.6119583333
8.78,0.3623647295,0.6119583333
8.82,0.3630360721,0.6119583333
8.85,0.3636973948,0.6119583333
8.92,0.3643587174,0.6119583333
9.08,0.3650300601,0.6119583333
9.12,0.3656913828,0.6119583333
9.19,0.3663527054,0.6119583333
9.25,0.3670240481,0.6119583333
9.52,0.3670240481,0.6119583333
9.88,0.3676853707,0.6119583333
9.92,0.3690180361,0.6119583333
9.95,0.3696793587,0.6119583333
10.52,0.3696793587,0.6119583333
11.52,0.3696793587,0.6119583333
12.35,0.3703507014,0.6106944444
12.38,0.371012024,0.6087916667
12.42,0.3716733467,0.6075277778
12.45,0.3723446894,0.6062638889
12.52,0.3723446894,0.6062638889
12.68,0.3696793587,0.6075277778
12.72,0.3683466934,0.6087916667
12.75,0.3670240481,0.6100555556
12.79,0.3663527054,0.6106944444
12.82,0.3663527054,0.6113194444
12.85,0.3656913828,0.6113194444
12.95,0.3656913828,0.6119583333
13.02,0.3650300601,0.6119583333
13.05,0.3650300601,0.6125833333
13.19,0.3656913828,0.6125833333
13.52,0.3656913828,0.6125833333
14.52,0.3656913828,0.6125833333
15.52,0.3656913828,0.6125833333
15.72,0.3670240481,0.6119583333
15.82,0.3683466934,0.6119583333
15.85,0.3690180361,0.6119583333
16.12,0.3696793587,0.6119583333
16.19,0.3696793587,0.6125833333
16.52,0.3696793587,0.6125833333
16.69,0.3696793587,0.6132222222
16.79,0.3696793587,0.6138472222
16.98,0.3696793587,0.6144861111
17.02,0.3696793587,0.6151111111
17.52,0.3696793587,0.6151111111
18.28,0.3683466934,0.6144861111
18.32,0.3663527054,0.6119583333
18.35,0.3643587174,0.6106944444
18.38,0.3636973948,0.6100555556
18.45,0.3636973948,0.6094305556
18.49,0.3630360721,0.6094305556
18.52,0.3623647295,0.6087916667
18.55,0.3617034068,0.6081527778
18.58,0.3603707415,0.6068888889
18.62,0.3590380762,0.605625
18.65,0.3570440882,0.6043611111
18.68,0.3550501002,0.6024722222
18.72,0.3530561122,0.6012083333
18.75,0.3523947896,0.6005694444
18.78,0.3510621242,0.5999305556
18.82,0.3504008016,0.5993055556
18.85,0.3497294589,0.5993055556
18.89,0.3497294589,0.5986666667
18.92,0.3490681363,0.5986666667
19.05,0.3484068136,0.5993055556
19.08,0.3484068136,0.5999305556
19.12,0.3477354709,0.6005694444
19.15,0.3477354709,0.6012083333
19.25,0.3484068136,0.6024722222
19.42,0.3484068136,0.6030972222
19.45,0.3490681363,0.6030972222
19.48,0.3497294589,0.6037361111
19.52,0.3504008016,0.6037361111
19.55,0.3510621242,0.6043611111
19.58,0.3517334669,0.6043611111
19.62,0.3530561122,0.605
19.65,0.3543887776,0.605
19.68,0.3550501002,0.605
19.72,0.3557214429,0.605625
19.75,0.3563827655,0.605625
19.78,0.3563827655,0.6062638889
19.82,0.3570440882,0.6062638889
19.85,0.3583767535,0.6068888889
19.89,0.3597094188,0.6075277778
19.92,0.3603707415,0.6081527778
19.95,0.3617034068,0.6081527778
20.02,0.3623647295,0.6087916667
20.05,0.3630360721,0.6087916667
20.08,0.3636973948,0.6087916667
20.12,0.3643587174,0.6087916667
20.22,0.3650300601,0.6087916667
20.28,0.3656913828,0.6087916667
20.38,0.3663527054,0.6087916667
20.52,0.3663527054,0.6087916667
20.78,0.3670240481,0.6081527778
20.82,0.3676853707,0.6081527778
20.85,0.3683466934,0.6081527778
21.52,0.3683466934,0.6081527778
21.92,0.3690180361,0.6075277778
21.98,0.3696793587,0.6068888889
22.02,0.3696793587,0.6062638889
22.05,0.3696793587,0.605625
22.18,0.3690180361,0.605625
22.25,0.3683466934,0.605
22.28,0.3676853707,0.605
22.32,0.3670240481,0.6037361111
22.35,0.3656913828,0.6030972222
22.38,0.3656913828,0.6024722222
22.42,0.3650300601,0.6018333333
22.45,0.3643587174,0.6018333333
22.48,0.3643587174,0.6012083333
22.52,0.3643587174,0.6012083333
22.75,0.3636973948,0.6012083333
22.92,0.3630360721,0.6012083333
23.02,0.3623647295,0.6012083333
23.28,0.3610420842,0.6012083333
23.35,0.3597094188,0.6005694444
23.38,0.3583767535,0.5999305556
23.42,0.3563827655,0.5993055556
23.45,0.3550501002,0.5993055556
23.48,0.3537274549,0.5986666667
23.52,0.3530561122,0.5980416667
