time,x,y
0.01,0.441492986,0.3798194444
0.53,0.441492986,0.3798194444
1.16,0.4421543086,0.3804583333
1.19,0.4421543086,0.3810833333
1.26,0.4428156313,0.3817222222
1.3,0.4434869739,0.3823472222
1.36,0.4434869739,0.3829861111
1.39,0.4448096192,0.3836111111
1.43,0.4448096192,0.38425
1.46,0.4448096192,0.3848888889
1.5,0.4454809619,0.3848888889
1.89,0.4468036072,0.3861527778
1.93,0.4474749499,0.3867777778
1.99,0.4474749499,0.3874166667
2.39,0.4474749499,0.3880416667
2.53,0.4474749499,0.3880416667
2.79,0.4474749499,0.3886805556
2.83,0.4468036072,0.3886805556
2.89,0.4468036072,0.3893055556
2.93,0.4461422846,0.3893055556
3.43,0.4461422846,0.3899444444
3.5,0.4461422846,0.3905694444
3.63,0.4461422846,0.3912083333
3.66,0.4468036072,0.3918472222
3.69,0.4468036072,0.3924722222
3.73,0.4468036072,0.3931111111
3.76,0.4474749499,0.3931111111
3.89,0.4474749499,0.3937361111
3.93,0.4481362725,0.394375
3.96,0.4488076152,0.394375
3.99,0.4488076152,0.395
4.03,0.4494689379,0.395
4.09,0.4501302605,0.3956388889
4.53,0.4501302605,0.3956388889
4.89,0.4501302605,0.3962638889
4.96,0.4501302605,0.3969027778
5.13,0.4501302605,0.3975277778
5.46,0.4501302605,0.3987916667
5.53,0.4501302605,0.3987916667
5.66,0.4501302605,0.3994305556
5.73,0.4501302605,0.4000694444
5.86,0.4501302605,0.4006944444
5.89,0.4501302605,0.4013333333
5.93,0.4494689379,0.4013333333
5.99,0.4494689379,0.4019583333
6.06,0.4494689379,0.4025972222
6.13,0.4494689379,0.4032222222
6.16,0.4494689379,0.4038611111
6.19,0.4501302605,0.4038611111
6.23,0.4501302605,0.4044861111
6.26,0.4508016032,0.405125
6.29,0.4521242485,0.40575
6.36,0.4534569138,0.4063888889
6.39,0.4534569138,0.4070277778
6.53,0.4534569138,0.4070277778
6.99,0.4527955912,0.4070277778
7.03,0.4521242485,0.4070277778
7.53,0.4521242485,0.4070277778
8.53,0.4521242485,0.4070277778
9.13,0.4534569138,0.4070277778
